Operator,Variant,BatchSize,Latency(ms),Throughput(GFLOPS),Speedup
elementwise_add,CUDA,256,0.002284,1.34,1.000
elementwise_add,CuTe,256,0.002337,1.31,0.978
elementwise_add,CUDA,512,0.002310,2.66,1.000
elementwise_add,CuTe,512,0.002346,2.62,0.985
elementwise_add,CUDA,1024,0.002310,5.32,1.000
elementwise_add,CuTe,1024,0.002445,5.03,0.945
elementwise_add,CUDA,2048,0.002363,10.40,1.000
elementwise_add,CuTe,2048,0.002484,9.89,0.951
elementwise_add,CUDA,4096,0.002386,20.60,1.000
elementwise_add,CuTe,4096,0.002501,19.65,0.954
elementwise_add,CUDA,256,0.002260,0.68,1.000
elementwise_add,CuTe,256,0.002376,0.65,0.951
elementwise_add,CUDA,512,0.002293,1.34,1.000
elementwise_add,CuTe,512,0.002391,1.28,0.959
elementwise_add,CUDA,1024,0.002321,2.65,1.000
elementwise_add,CuTe,1024,0.002580,2.38,0.900
elementwise_add,CUDA,2048,0.002329,5.28,1.000
elementwise_add,CuTe,2048,0.002900,4.24,0.803
elementwise_add,CUDA,4096,0.002385,10.31,1.000
elementwise_add,CuTe,4096,0.002957,8.31,0.806
