Operator,Variant,BatchSize,Latency(ms),Throughput(GFLOPS),Speedup
GEMM,CuTe,256,0.019807,1694.04,0.239
GEMM,CUDA,256,0.007588,4422.32,0.623
GEMM,cuBLAS,256,0.004725,7101.77,1.000
GEMM,CuTe,512,0.032966,8142.70,0.183
GEMM,CUDA,512,0.015650,17152.51,0.386
GEMM,cuBLAS,512,0.006044,44414.71,1.000
GEMM,CuTe,1024,0.114524,18751.46,0.107
GEMM,CUDA,1024,0.112823,19034.09,0.109
GEMM,cuBLAS,1024,0.012264,175109.23,1.000
GEMM,CuTe,2048,0.589620,29137.18,0.071
GEMM,CUDA,2048,0.895383,19187.17,0.047
GEMM,cuBLAS,2048,0.041773,411263.00,1.000
GEMM,CuTe,4096,4.410323,31163.01,0.066
GEMM,CUDA,4096,6.187475,22212.45,0.047
GEMM,cuBLAS,4096,0.292110,470504.50,1.000
